At1,At2,At3,At4,At5,At6,At7,At8,At9,At10,At11,At12,At13,At14,At15,At16,Class_label
0, 47, 49, 83, 100, 100, 81, 80, 11, 60, 62, 12, 10, 74, 47, 55, 1
100, 43, 88, 99, 49, 74, 17, 47, 82, 99, 17, 0, 73, 16, 25, 20, 6
0, 84, 12, 50, 72, 38, 72, 0, 66, 17, 0, 61, 32, 94, 30, 18, 5
74, 44, 31, 100, 0, 12, 62, 64, 100, 79, 100, 38, 84, 0, 18, 24, 9
48, 96, 62, 10, 88, 27, 21, 0, 21, 33, 79, 42, 100, 79, 0, 85, 8
88, 100, 72, 99, 36, 78, 18, 54, 79, 47, 65, 13, 19, 86, 69, 2, 5
35, 76, 57, 100, 100, 92, 68, 88, 81, 38, 51, 9, 32, 15, 0, 17, 3
24, 66, 43, 100, 59, 65, 50, 28, 0, 1, 16, 11, 58, 0, 100, 1, 2
0, 46, 49, 5, 93, 86, 100, 100, 42, 77, 85, 49, 75, 88, 89, 0, 1
10, 86, 14, 66, 68, 13, 34, 56, 4, 26, 0, 69, 34, 85, 43, 100, 5
54, 100, 34, 75, 74, 43, 0, 40, 70, 0, 4, 28, 29, 46, 36, 31, 6
37, 59, 58, 100, 41, 84, 67, 65, 80, 0, 8, 5, 33, 44, 100, 47, 8
40, 99, 51, 66, 79, 26, 39, 0, 0, 71, 8, 77, 46, 100, 100, 94, 5
27, 76, 5, 42, 16, 0, 70, 3, 100, 27, 92, 22, 44, 100, 0, 71, 0
77, 97, 26, 100, 0, 59, 9, 29, 84, 33, 100, 64, 41, 44, 48, 0, 4
64, 77, 0, 67, 97, 67, 89, 100, 14, 70, 100, 68, 96, 36, 28, 0, 9
77, 72, 45, 100, 78, 78, 95, 6, 25, 50, 0, 31, 50, 6, 100, 0, 2
11, 92, 56, 100, 83, 82, 52, 59, 87, 24, 100, 14, 55, 0, 0, 0, 3
84, 82, 75, 56, 100, 22, 22, 0, 22, 41, 92, 73, 84, 100, 2, 80, 8
0, 75, 31, 72, 67, 84, 100, 100, 94, 82, 80, 54, 68, 27, 56, 0, 1
0, 97, 42, 100, 67, 71, 53, 35, 34, 0, 15, 0, 40, 42, 100, 42, 7
72, 100, 38, 58, 2, 57, 0, 19, 51, 0, 100, 20, 55, 34, 12, 7, 6
